Lushootseed,English,
hagʷəxʷ tiʔiɬ sʔah ʔə tiʔiɬ sbiaw,Coyote was there for a long time.,
ɬudəxʷʔahs kʷi stab,so there would be something,
didiʔɬ uʔxʷ ʔu ʔa.,Is it still there?,
ʔa ʔu kʷi adsʔax̌ʷuʔ.,Do you have any clams?,
ʔi. ʔa ti dsʔax̌ʷuʔ.,Yes. I have some clams.,
tux̌ʷ ʔa,but he has,
"ʔah dəgʷi, siʔab dsyaʔyaʔ","This is for you, my worthy friend",
ləʔacutəxʷ,he put himself now,
gʷəl bəʔaʔəd,And he replaced it.,
ɬuʔacid čəd,I will place you there.,
ʔuʔatəb tə qʼilʼbids əlgʷəʔ,their canoe had been put there,
gʷəl ʔuʔatəb tiʔəʔ x̌əɬ ti sgʷistalb.,And (something) like sand was put there.,
tuʔatxʷəxʷ əlgʷəʔ,They had him there.,
kʷi ɬuadsdxʷʔatxʷ,(where) you will cause them to be,
čad swatixʷtəd tiʔəʔ dəxʷʔatubs.,Which country is it that they have been taken to?,
bəkʼʷ čələp ɬəliɬʔatxʷ,You folks will have it along with you.,
xʷiʔ gʷəsx̌əyʼus gʷəʔatub ʔal tiʔiɬ.,There were no heads placed there.,
bəʔux̌ʷtxʷ dxʷʔal tiʔiɬ tədəxʷʔatxʷs ƛ'əbədəxʷuqaʔkʷs.,He took them to where he had them where he would usually rest.,
tusʔayitəbs,(who) had been put there for someone,
bəʔaʔitəb sixʷ.,"Then they put it there again. (I.e., They put more food on the same platter.)",
"ʔayitid kʷədiʔ x̌̌əcabid ʔə kʷədiʔ xʷiʔ gʷəsukʷəddxʷs tə skʷəbšəd gʷəɬ sqigʷəc, ʔəsx̌ib.",An animal hide was placed there for someone who was not a hunter who could not get the hide of deer.,
huy gʷəl ʔaʔiləxʷ kʷi sɬikʼʷabac ʔə tiʔəʔ sbiaw.,And there Coyote's body became caught.,
tulʼʔahəxʷ gʷəl tuhaydubəxʷ ʔə kʷi dxʷsƛ'alb kʷi gʷəsuləkʼʷəds əlgʷəʔ tiʔəʔ gʷəɬ pastəd sʔəɬəd.,From there (it was that) the Clallam learned to eat of the white man's food.,
tukʼʷəɬ ʔaha tiʔiɬ cədiɬ sʔuləx̌,The dentalium spilled right there.,
ʔahaəxʷ əlgʷəʔ.,There they were.,
